MODEL	VAR_ID	POST_BETA	POST_SE	MAINEFFS
1	0	0	0	-1
1	3	0	0	1
1	4	0	0	33
1	2	0	0	73
1	5	0	0	2087
2	0	0	0	-1
2	3	0	0	1
2	4	0	0	33
2	2	0	0	73
2	5	0	0	2087
2	6	0	0	4864
3	0	0	0	-1
3	4	0	0	33
3	2	0	0	73
3	7	0	0	1245
3	5	0	0	2087
3	6	0	0	4864
4	0	0	0	-1
4	4	0	0	33
4	2	0	0	73
4	7	0	0	1245
4	5	0	0	2087
5	0	0	0	-1
5	4	0	0	33
5	7	0	0	1245
5	5	0	0	2087
5	8	0	0	4140
6	0	0	0	-1
6	4	0	0	33
6	7	0	0	1245
6	8	0	0	4140
7	0	0	0	-1
7	4	0	0	33
7	9	0	0	735
7	8	0	0	4140
8	0	0	0	-1
8	9	0	0	735
8	8	0	0	4140
9	0	0	0	-1
9	9	0	0	735
9	10	0	0	1260
9	8	0	0	4140
10	0	0	0	-1
10	9	0	0	735
10	11	0	0	1187
10	10	0	0	1260
10	8	0	0	4140
11	0	0	0	-1
11	9	0	0	735
11	11	0	0	1187
11	8	0	0	4140
11	12	0	0	5156
12	0	0	0	-1
12	9	0	0	735
12	11	0	0	1187
12	8	0	0	4140
12	13	0	0	4613
12	12	0	0	5156
13	0	0	0	-1
13	14	0	0	341
13	9	0	0	735
13	11	0	0	1187
13	8	0	0	4140
13	13	0	0	4613
13	12	0	0	5156
13	15	0	0	341 4613
14	0	0	0	-1
14	14	0	0	341
14	11	0	0	1187
14	8	0	0	4140
14	13	0	0	4613
14	16	0	0	4822
14	12	0	0	5156
14	15	0	0	341 4613
15	0	0	0	-1
15	14	0	0	341
15	11	0	0	1187
15	8	0	0	4140
15	13	0	0	4613
15	16	0	0	4822
15	12	0	0	5156
15	15	0	0	341 4613
16	0	0	0	-1
16	14	0	0	341
16	11	0	0	1187
16	13	0	0	4613
16	16	0	0	4822
16	12	0	0	5156
16	15	0	0	341 4613
17	0	0	0	-1
17	14	0	0	341
17	11	0	0	1187
17	13	0	0	4613
17	16	0	0	4822
17	17	0	0	6513
17	15	0	0	341 4613
18	0	0	0	-1
18	14	0	0	341
18	18	0	0	495
18	11	0	0	1187
18	13	0	0	4613
18	16	0	0	4822
18	17	0	0	6513
18	15	0	0	341 4613
19	0	0	0	-1
19	14	0	0	341
19	18	0	0	495
19	11	0	0	1187
19	19	0	0	2764
19	13	0	0	4613
19	16	0	0	4822
19	15	0	0	341 4613
20	0	0	0	-1
20	14	0	0	341
20	18	0	0	495
20	11	0	0	1187
20	19	0	0	2764
20	20	0	0	3622
20	13	0	0	4613
20	15	0	0	341 4613
21	0	0	0	-1
21	14	0	0	341
21	11	0	0	1187
21	19	0	0	2764
21	21	0	0	2902
21	20	0	0	3622
21	13	0	0	4613
21	15	0	0	341 4613
22	0	0	0	-1
22	14	0	0	341
22	11	0	0	1187
22	19	0	0	2764
22	21	0	0	2902
22	20	0	0	3622
22	13	0	0	4613
22	15	0	0	341 4613
23	0	0	0	-1
23	14	0	0	341
23	11	0	0	1187
23	19	0	0	2764
23	21	0	0	2902
23	20	0	0	3622
23	13	0	0	4613
23	15	0	0	341 4613
24	0	0	0	-1
24	14	0	0	341
24	11	0	0	1187
24	19	0	0	2764
24	21	0	0	2902
24	20	0	0	3622
24	13	0	0	4613
24	15	0	0	341 4613
25	0	0	0	-1
25	14	0	0	341
