MODEL	MAINEFFS	MLE_BETA	SE	Z_MEAN	A_MEAN	PRIOR_BETA	SE	ADD_PROB
1	-1	0	0	0	0	0	0	0
1	2087	0	0	0	0	0	0	0.5
1	73	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0
1	33	0	0	0	0	0	0	0
2	-1	0	0	0	0	0	0	0
2	2087	0	0	0	0	0	0	0.5
2	73	0	0	0	0	0	0	0
2	1	0	0	0	0	0	0	0
2	33	0	0	0	0	0	0	0
2	4864	0	0	0	0	0	0	0.5
3	-1	0	0	0	0	0	0	0
3	2087	0	0	0	0	0	0	0.5
3	73	0	0	0	0	0	0	0
3	1245	0	0	0	0	0	0	0.5
3	33	0	0	0	0	0	0	0
3	4864	0	0	0	0	0	0	0.5
4	-1	0	0	0	0	0	0	0
4	2087	0	0	0	0	0	0	0.5
4	73	0	0	0	0	0	0	0.5
4	1245	0	0	0	0	0	0	0.5
4	33	0	0	0	0	0	0	0
5	-1	0	0	0	0	0	0	0
5	2087	0	0	0	0	0	0	0.5
5	4140	0	0	0	0	0	0	0.5
5	1245	0	0	0	0	0	0	0.5
5	33	0	0	0	0	0	0	0
6	-1	0	0	0	0	0	0	0
6	33	0	0	0	0	0	0	0
6	4140	0	0	0	0	0	0	0.5
6	1245	0	0	0	0	0	0	0.5
7	-1	0	0	0	0	0	0	0
7	33	0	0	0	0	0	0	0
7	4140	0	0	0	0	0	0	0.5
7	735	0	0	0	0	0	0	0.5
8	-1	0	0	0	0	0	0	0
8	735	0	0	0	0	0	0	0.5
8	4140	0	0	0	0	0	0	0.5
9	-1	0	0	0	0	0	0	0
9	735	0	0	0	0	0	0	0.5
9	4140	0	0	0	0	0	0	0.5
9	1260	0	0	0	0	0	0	0.5
10	-1	0	0	0	0	0	0	0
10	735	0	0	0	0	0	0	0.5
10	4140	0	0	0	0	0	0	0.5
10	1260	0	0	0	0	0	0	0.5
10	1187	0	0	0	0	0	0	0.5
11	-1	0	0	0	0	0	0	0
11	735	0	0	0	0	0	0	0.5
11	4140	0	0	0	0	0	0	0.5
11	5156	0	0	0	0	0	0	0.5
11	1187	0	0	0	0	0	0	0.5
12	-1	0	0	0	0	0	0	0
12	735	0	0	0	0	0	0	0.5
12	4140	0	0	0	0	0	0	0.5
12	5156	0	0	0	0	0	0	0.5
12	1187	0	0	0	0	0	0	0.5
12	4613	0	0	0	0	0	0	0.5
13	-1	0	0	0	0	0	0	0
13	735	0	0	0	0	0	0	0.5
13	4140	0	0	0	0	0	0	0.5
13	5156	0	0	0	0	0	0	0.5
13	1187	0	0	0	0	0	0	0.5
13	4613	0	0	0	0	0	0	0.5
13	341	0	0	0	0	0	0	0.5
13	341 4613	0	0	0	0	0	0	0.5
14	-1	0	0	0	0	0	0	0
14	4822	0	0	0	0	0	0	0.5
14	4140	0	0	0	0	0	0	0.5
14	5156	0	0	0	0	0	0	0.5
14	1187	0	0	0	0	0	0	0.5
14	4613	0	0	0	0	0	0	0.5
14	341	0	0	0	0	0	0	0.5
14	341 4613	0	0	0	0	0	0	0.5
15	-1	0	0	0	0	0	0	0
15	4822	0	0	0	0	0	0	0.5
15	4140	0	0	0	0	0	0	0.5
15	5156	0	0	0	0	0	0	0.5
15	1187	0	0	0	0	0	0	0.5
15	4613	0	0	0	0	0	0	0.5
15	341	0	0	0	0	0	0	0.5
15	341 4613	0	0	0	0	0	0	0.5
16	-1	0	0	0	0	0	0	0
16	4822	0	0	0	0	0	0	0.5
16	341 4613	0	0	0	0	0	0	0.5
16	5156	0	0	0	0	0	0	0.5
16	1187	0	0	0	0	0	0	0.5
16	4613	0	0	0	0	0	0	0.5
16	341	0	0	0	0	0	0	0.5
17	-1	0	0	0	0	0	0	0
