MODEL	MAINEFFS	SIZE	LOG-LIKELIHOOD
1	-1;0;1;2;3;5;14	7	-11074.2
2	-1;0;1;2;3;5;14	7	-11082.6
3	-1;0;1;2;3;5;14	7	-11074.2
4	-1;0;1;2;3;5;14	7	-11072.1
5	-1;0;1;2;5;10;14	7	-11072.7
6	-1;1;2;5;10;14	6	-11073.8
7	-1;1;2;5;10;14	6	-11073
8	-1;2;5;10;13;14	6	-11073.7
9	-1;2;5;10;13;14	6	-11073.8
10	-1;2;5;6;10;14	6	-11069.7
11	-1;2;5;6;10;14	6	-11069.3
12	-1;2;5;6;10;14	6	-11065.4
13	-1;2;5;6;10;14	6	-11072.7
14	-1;2;5;6;10;14	6	-11068.7
15	-1;2;5;6;10;14	6	-11066.8
16	-1;2;5;6;10;14	6	-11071.1
17	-1;2;5;6;10;14	6	-11065.4
18	-1;2;5;6;10;14	6	-11068.7
19	-1;2;5;6;10;14	6	-11069.7
20	-1;2;5;6;10;14	6	-11066.8
21	-1;2;5;6;10;14	6	-11068.5
22	-1;2;5;6;10;14	6	-11073
23	-1;2;5;6;8;14	6	-11068.9
24	-1;2;6;8;9;14	6	-11056.7
25	-1;2;6;8;9;14	6	-11056.5
26	-1;2;6;8;9;14	6	-11055.6
27	-1;2;6;8;9;14	6	-11056
28	-1;2;6;8;9;15	6	-11057
29	-1;2;6;8;9;15	6	-11057
30	-1;2;6;8;9;15	6	-11069.3
31	-1;2;6;8;9;14;15	7	-11052.1
32	-1;2;6;8;9;14;15	7	-11051.9
33	-1;2;6;8;9;14;15	7	-11049.9
34	-1;2;6;8;9;14;15	7	-11051.5
35	-1;2;6;8;9;14;15	7	-11055.9
36	-1;2;6;8;9;14;15	7	-11051.5
37	-1;2;6;8;9;14;15	7	-11056
38	-1;2;3;8;9;14;15	7	-11055.6
39	-1;2;3;8;9;14;15	7	-11067.7
40	-1;2;8;9;12;14;15	7	-11052.1
41	-1;2;8;9;12;14;15	7	-11063.1
42	-1;2;8;9;12;14;15	7	-11051
43	-1;2;8;9;12;14;15	7	-11052.1
44	-1;2;8;9;12;14;15	7	-11051.6
45	-1;2;8;9;12;14;15	7	-11052
46	-1;2;8;9;12;14;15	7	-11061.1
47	-1;2;8;9;10;14;15	7	-11054
48	-1;2;8;9;10;14;15	7	-11065.1
49	-1;2;5;8;9;10;14;15	8	-11053.8
50	-1;2;5;8;9;10;14;15	8	-11066.1
51	-1;2;5;8;9;10;14;15	8	-11054
52	-1;2;5;8;9;10;14;15	8	-11062.8
53	-1;2;5;8;9;10;14;15	8	-11052.8
54	-1;2;5;8;9;10;14;15	8	-11057.9
55	-1;2;5;8;9;10;14;15	8	-11063.4
56	-1;2;5;6;8;9;10;14;15;6 9	10	-11045.3
57	-1;2;5;6;8;9;10;14;15;6 9	10	-11044.6
58	-1;2;5;6;8;9;10;14;15;6 9	10	-11049.3
59	-1;2;5;6;8;9;10;14;15;6 9	10	-11045.2
60	-1;2;5;6;8;9;10;14;15;6 9	10	-11049.1
61	-1;2;5;6;8;9;10;14;15;6 9	10	-11044.1
62	-1;2;5;6;8;9;10;14;15;6 9	10	-11044.8
63	-1;2;5;6;8;9;10;12;14;15	10	-11045.6
64	-1;2;5;8;9;10;11;12;14;15	10	-11049
65	-1;2;5;8;9;10;11;12;14;15	10	-11058.7
66	-1;2;5;8;9;10;11;12;14;15	10	-11053.4
67	-1;2;5;8;9;10;11;12;14;15	10	-11049
68	-1;2;5;8;9;10;11;12;14;15	10	-11048.3
69	-1;2;5;8;9;10;11;12;14;15	10	-11049
70	-1;2;5;6;8;9;10;11;14;15	10	-11048.9
71	-1;2;3;5;6;8;9;10;11;14	10	-11053
72	-1;2;3;5;8;9;10;11;14;15	10	-11052.6
73	-1;2;3;5;8;9;10;11;14;15	10	-11055.5
74	-1;2;3;5;8;9;10;11;14;15	10	-11052.5
75	-1;2;3;5;8;9;10;11;14;15	10	-11052.5
76	-1;2;3;5;8;9;10;11;14;15	10	-11062.1
77	-1;0;2;3;5;9;10;11;14;15	10	-11054.4
78	-1;0;2;3;5;9;10;11;14;15	10	-11059.3
79	-1;0;2;3;5;9;10;11;14;15	10	-11066.4
80	-1;0;2;3;9;10;11;13;14;15	10	-11054.5
81	-1;0;2;3;8;9;10;11;13;14	10	-11056.3
82	-1;0;2;3;8;9;10;11;13;14	10	-11056.1
83	-1;0;2;3;8;9;10;11;13;14	10	-11052.1
84	-1;0;2;3;8;9;10;11;13;14	10	-11056.3
85	-1;0;2;3;8;9;10;13;14	9	-11057
86	-1;0;2;3;5;8;9;13;14	9	-11058.9
87	-1;0;2;3;5;8;9;13;14	9	-11059.2
88	-1;0;2;3;5;8;9;12;14	9	-11054.7
89	-1;0;2;3;5;7;8;9;12;14;3 7	11	-11049
90	-1;0;2;3;5;7;8;9;12;14;3 7	11	-11047.5
91	-1;0;2;3;5;7;8;9;12;14;3 7	11	-11060.9
92	-1;0;2;3;5;7;8;9;12;14;3 7	11	-11053.2
93	-1;0;2;3;5;7;8;9;12;14;3 7	11	-11048.9
94	-1;0;2;3;5;7;8;9;12;14;3 7	11	-11049.2
95	-1;0;2;3;5;7;8;9;12;14;3 7	11	-11054.1
96	-1;0;2;3;5;7;8;9;12;14;3 7	11	-11049
97	-1;0;2;3;5;6;7;8;9;12;14;3 7	12	-11044.8
98	-1;0;2;3;5;6;7;8;9;12;14;3 7	12	-11042.8
99	-1;0;2;3;5;6;7;8;9;12;14;3 7	12	-11042.8
100	-1;0;2;3;5;6;7;8;9;12;14;3 7	12	-11047.7
