MODEL	TAU^2	SIGMA^2
1	0.00146003	0.00532247
2	0.0011261	0.00077629
3	0.0012504	0.00572994
4	0.00223578	0.00032682
5	0.00410125	0.000932333
6	0.000950769	0.000501245
7	0.00107564	0.000567078
8	0.000927476	0.000521539
9	0.00175557	0.000987195
10	0.00102341	0.000813382
11	0.00324838	0.00258173
12	0.00101165	0.000804031
13	0.00393803	0.00312985
14	0.0017259	0.00137171
15	0.00221594	0.00176117
16	0.0030071	0.00238997
17	0.00459568	0.00365254
18	0.0039127	0.00310971
19	0.00154226	0.00122575
20	0.00193642	0.00153902
21	0.00314181	0.00249704
22	0.00386297	0.00307019
23	0.000582405	0.000617559
24	0.00463938	0.00577606
25	0.0033105	0.0041216
26	0.00298492	0.00371624
27	0.00315669	0.0039301
28	0.00181986	0.00227058
29	0.0187037	0.023336
30	0.00169766	0.00211811
31	0.00173924	0.000495055
32	0.00413912	0.00454056
33	0.00427672	0.00222552
34	0.00512701	0.00188304
35	0.00129165	0.000710157
36	0.00208366	0.000565017
37	0.00218216	0.00239564
38	0.00701013	0.00239345
39	0.00145726	0.000199687
40	0.00209996	0.000380358
41	0.00747704	0.00349103
42	0.00159233	0.00093596
43	0.00197889	0.000509192
44	0.00653084	0.00243237
45	0.00348801	0.00209162
46	0.00120439	0.000187593
47	0.0028353	0.000776555
48	0.00611272	0.000713029
49	0.00118997	0.000275567
50	0.0010935	0.000111589
51	0.00285839	0.000873209
52	0.0025672	0.000377757
53	0.00331928	0.00103442
54	0.00122891	0.000275677
55	0.00335255	0.00038192
56	0.00537578	0.00300367
57	0.00282639	0.00174566
58	0.0094545	0.00891335
59	0.00371833	0.00209671
60	0.0027826	0.00245153
61	0.00233067	0.00109584
62	0.00260179	0.00180235
63	0.00525404	0.00343456
64	0.00251994	0.000721514
65	0.00343031	0.00075354
66	0.00131542	0.000816949
67	0.00113319	0.000626873
68	0.00254974	0.000815268
69	0.00302369	0.00089069
70	0.00770635	0.00762985
71	0.000924326	0.000452673
72	0.00199362	0.000964871
73	0.00171662	0.00108819
74	0.00156642	0.000461196
75	0.0015931	0.000501871
76	0.00182342	0.000868569
77	0.00240106	0.000527277
78	0.00199783	0.000542439
79	0.00273203	0.000602164
80	0.00117167	0.000367955
81	0.00186103	0.000532724
82	0.00252235	0.00168924
83	0.00561201	0.00140802
84	0.00181219	0.000536302
85	0.0024997	0.0221772
86	0.0050524	0.00103796
87	0.00126314	0.000447674
88	0.00240975	0.000208982
89	0.0033415	0.00115353
90	0.00269716	0.00135445
91	0.00110262	0.00066387
92	0.00185637	0.00111017
93	0.0021546	0.000749845
94	0.00149026	0.000698901
95	0.00169523	0.000724651
96	0.00206721	0.00113472
97	0.00153372	0.0013097
98	0.00184057	0.000682073
99	0.00522721	0.00323861
100	0.00296487	0.00279969
