MODEL	MAINEFFS	SIZE	LOG-LIKELIHOOD
1	-1;1;33;73;2087	5	0
2	-1;1;33;73;2087;4864	6	0
3	-1;33;73;1245;2087;4864	6	0
4	-1;33;73;1245;2087	5	0
5	-1;33;1245;2087;4140	5	0
6	-1;33;1245;4140	4	0
7	-1;33;735;4140	4	0
8	-1;735;4140	3	0
9	-1;735;1260;4140	4	0
10	-1;735;1187;1260;4140	5	0
11	-1;735;1187;4140;5156	5	0
12	-1;735;1187;4140;4613;5156	6	0
13	-1;341;735;1187;4140;4613;5156;341 4613	8	0
14	-1;341;1187;4140;4613;4822;5156;341 4613	8	0
15	-1;341;1187;4140;4613;4822;5156;341 4613	8	0
16	-1;341;1187;4613;4822;5156;341 4613	7	0
17	-1;341;1187;4613;4822;6513;341 4613	7	0
18	-1;341;495;1187;4613;4822;6513;341 4613	8	0
19	-1;341;495;1187;2764;4613;4822;341 4613	8	0
20	-1;341;495;1187;2764;3622;4613;341 4613	8	0
21	-1;341;1187;2764;2902;3622;4613;341 4613	8	0
22	-1;341;1187;2764;2902;3622;4613;341 4613	8	0
23	-1;341;1187;2764;2902;3622;4613;341 4613	8	0
24	-1;341;1187;2764;2902;3622;4613;341 4613	8	0
25	-1;341;1187;2764;3622;3989;4613;341 4613	8	0
26	-1;341;1187;2764;3622;3989;4613;341 4613	8	0
27	-1;341;1187;2464;2764;3622;3989;4613;341 4613	9	0
28	-1;181;341;1187;2464;2764;3622;4613;341 4613	9	0
29	-1;181;341;1187;2464;2764;4613;6063;341 4613	9	0
30	-1;181;341;2464;2764;4613;6063;341 4613	8	0
31	-1;181;341;2163;2464;2764;4613;6063	8	0
32	-1;181;341;2163;2464;2764;4613;6063;181 6063	9	0
33	-1;181;341;398;2163;2464;2764;4613;6063;181 6063	10	0
34	-1;181;341;398;2464;2764;2860;4613;6063;181 6063	10	0
35	-1;181;341;398;2464;2764;2860;4168;4613;6063;181 6063;2764 4168	12	0
36	-1;181;341;398;2464;2764;2860;4168;4613;6063;181 6063	11	0
37	-1;181;341;398;1902;2464;2764;2860;4613;6063;181 6063	11	0
38	-1;181;341;398;1902;1974;2464;2764;4613;6063;181 6063	11	0
39	-1;181;341;398;1974;2464;2764;4613;5783;6063;181 6063	11	0
40	-1;181;341;1974;2464;2747;2764;4613;5783;6063;181 6063	11	0
41	-1;181;341;1974;2464;2747;2764;4613;5477;5783;6063;181 6063	12	0
42	-1;181;341;2464;2747;2764;3232;4613;5477;5783;6063;181 6063	12	0
43	-1;181;341;2464;2747;2764;3232;4613;5477;6063;181 6063	11	0
44	-1;181;341;2542;2747;2764;3232;4613;5477;6063;181 6063	11	0
45	-1;181;341;2542;2747;3232;4613;5477;6063;181 6063	10	0
46	-1;181;341;2747;3232;3695;4613;5477;6063;181 6063	10	0
47	-1;181;341;2747;3200;3232;3695;4613;5477;6063;181 6063	11	0
48	-1;181;341;2747;3200;3232;3695;5477;6063;181 6063	10	0
49	-1;181;341;1440;2747;3200;3232;3695;5477;6063;181 6063	11	0
50	-1;181;341;1440;2747;3200;3695;5477;6063;181 6063	10	0
51	-1;181;341;1440;2747;2777;3200;3695;5477;6063;181 6063;1440 2777	12	0
52	-1;181;341;1440;2747;2777;3200;3575;3695;5477;6063;1440 2777	12	0
53	-1;341;1440;2747;2777;3200;3575;3695;4526;5477;6063;1440 2777	12	0
54	-1;341;1440;2747;2777;3200;3575;3695;4526;5036;6063;1440 2777	12	0
55	-1;341;1440;1903;2747;2777;3200;3575;3695;4526;5036;6063;1440 2777	13	0
56	-1;341;1440;1903;2747;2777;3093;3575;3695;4526;5036;6063;1440 2777	13	0
57	-1;341;1440;1903;2747;2777;3093;3575;3695;5036;6063;7342;1440 2777	13	0
58	-1;341;1440;1903;2747;2777;3093;3575;3695;5036;5153;6063;7342;1440 2777	14	0
59	-1;341;1440;1903;2747;2777;3093;3575;3695;5036;5153;7342;1440 2777	13	0
60	-1;341;1440;1903;2747;2777;3093;3695;5036;5153;7342;1440 2777	12	0
61	-1;341;1440;1903;2747;2777;3695;5036;5153;7342;1440 2777	11	0
62	-1;341;1440;1903;2747;2777;3695;5036;5153;6014;7342	11	0
63	-1;341;1440;1903;2747;2777;3695;5153;6014;7342	10	0
64	-1;341;1440;2747;2777;3695;5153;6014;7342	9	0
65	-1;341;1440;2747;2777;3695;5013;5153;6014;7342	10	0
66	-1;341;609;2747;2777;3695;5013;5153;6014;7342	10	0
67	-1;341;609;2777;3695;5013;5153;6014;7342	9	0
68	-1;341;609;2777;3695;4517;5013;6014;7342	9	0
69	-1;341;609;2777;3695;4517;5013;6014;6722;7342;6722 7342	11	0
70	-1;341;609;2777;3695;4517;5013;5688;6014;6722;7342;6722 7342	12	0
71	-1;341;609;2777;3695;5013;5688;6014;6722;7342;6722 7342	11	0
72	-1;341;609;2777;5013;5688;6014;6722;7342;6722 7342	10	0
73	-1;341;609;4419;5013;5688;6014;6722;7342;6722 7342	10	0
74	-1;609;4419;5013;5688;6014;6325;6722;7342;6722 7342	10	0
75	-1;609;4419;5013;5688;6014;6325;6722;7342;6722 7342	10	0
76	-1;609;5013;5688;6014;6325;6722;7342;6722 7342	9	0
77	-1;609;4275;5013;5688;6014;6325;6722;7342	9	0
78	-1;609;4275;5013;5688;6014;6325;6722	8	0
79	-1;609;4275;5013;5688;6325;6722	7	0
80	-1;609;812;4275;5013;5688;6722	7	0
81	-1;812;4275;5013;5688;6722	6	0
82	-1;812;4275;5013;5688;6722	6	0
83	-1;812;1456;4275;5688;6722	6	0
84	-1;812;1456;4275;5688;5786;6722	7	0
85	-1;812;1456;1732;4275;5688;5786;6722	8	0
86	-1;812;1732;4081;4275;5688;5786;6722	8	0
87	-1;812;4081;4275;5688;5786;6722	7	0
88	-1;812;4081;4275;5688;5786;6722;7243	8	0
89	-1;812;4081;4275;5688;5786;6722;7208;7243	9	0
90	-1;812;4081;4275;5688;5786;6722;7208;7243	9	0
91	-1;812;4081;4275;5688;6722;7208;7243	8	0
92	-1;812;4081;4275;5688;6722;6824;7208;7243	9	0
93	-1;812;4081;4275;5687;5688;6722;6824;7208	9	0
94	-1;812;2907;4081;4275;5687;5688;6824;7208	9	0
95	-1;812;2097;2907;4081;4275;5687;5688;6824;7208	10	0
96	-1;506;812;2097;2907;4081;4275;5687;5688;7208	10	0
97	-1;506;812;2097;2907;4275;5687;5688;7208	9	0
98	-1;506;812;2097;2907;4275;5688;7208	8	0
99	-1;506;812;2097;2907;4275;5688;7208	8	0
