MODEL	VAR_ID	POST_BETA	POST_SE	MAINEFFS
1	0	0	0	-1
1	1	0.0259504	0.0216081	0
1	2	0.0263644	0.0216064	1
1	3	0.0737794	0.0216271	2
1	4	0.0792974	0.0216061	3
1	6	0.0414478	0.0216055	5
1	7	0.0892327	0.0216139	14
2	0	0	0	-1
2	1	0.0394958	0.0199206	0
2	2	0.0112377	0.0199193	1
2	3	0.0559997	0.0199356	2
2	4	0.0414942	0.0199191	3
2	6	0.0563872	0.0199186	5
2	7	0.0847656	0.0199252	14
3	0	0	0	-1
3	1	0.00532122	0.0216292	0
3	2	-0.00228516	0.0216275	1
3	3	0.0714997	0.0216483	2
3	4	0.0233833	0.0216272	3
3	6	-0.0178814	0.0216266	5
3	7	0.0876526	0.021635	14
4	0	0	0	-1
4	1	0.00425764	0.0204785	0
4	2	0.00442687	0.020477	1
4	3	0.0863396	0.0204947	2
4	4	0.0449284	0.0204768	3
4	6	0.021678	0.0204763	5
4	7	0.0493204	0.0204834	14
5	0	0	0	-1
5	1	0.0333085	0.0213571	0
5	2	-0.00729662	0.0213555	1
5	3	0.0751554	0.0213723	2
5	6	-0.0136061	0.021354	5
5	11	0.0611205	0.0213587	10
5	7	0.080832	0.0213633	14
6	0	0	0	-1
6	2	-0.0157984	0.0193059	1
6	3	0.0253479	0.019318	2
6	6	-0.0042234	0.0193043	5
6	11	0.0722431	0.0193071	10
6	7	0.0920267	0.0193096	14
7	0	0	0	-1
7	2	-0.00738468	0.0196001	1
7	3	0.0419506	0.0196128	2
7	6	0.015762	0.0195984	5
7	11	0.0135758	0.0196014	10
7	7	0.0306756	0.019604	14
8	0	0	0	-1
8	3	0.0349667	0.0193135	2
8	6	0.0315963	0.0192991	5
8	11	0.0226266	0.0193012	10
8	13	0.0342549	0.019299	13
8	7	0.0133392	0.0193029	14
9	0	0	0	-1
9	3	0.0431486	0.020605	2
9	6	0.00488816	0.0205875	5
9	11	-0.0114039	0.0205901	10
9	13	0.00188147	0.0205874	13
9	7	0.0636131	0.0205921	14
10	0	0	0	-1
10	3	0.0551335	0.0198629	2
10	6	-0.00785659	0.0198509	5
10	14	-0.0302644	0.019858	6
10	11	-0.00254073	0.0198515	10
10	7	0.0318934	0.0198535	14
11	0	0	0	-1
11	3	0.0347059	0.021508	2
11	6	0.0395816	0.0214927	5
11	14	-0.0658812	0.0215018	6
11	11	0.053703	0.0214935	10
11	7	0.0533639	0.0214961	14
12	0	0	0	-1
12	3	0.00777775	0.0198381	2
12	6	0.0392174	0.0198261	5
12	14	-0.00502532	0.0198333	6
12	11	0.0272666	0.0198267	10
12	7	0.0216519	0.0198288	14
13	0	0	0	-1
13	3	0.0746477	0.021659	2
13	6	0.016681	0.0216434	5
13	14	-0.0353785	0.0216527	6
13	11	0.030556	0.0216442	10
13	7	0.00863037	0.0216469	14
14	0	0	0	-1
14	3	0.024805	0.0207926	2
14	6	-0.00215629	0.0207788	5
14	14	-0.0210172	0.020787	6
14	11	-0.0111962	0.0207795	10
14	7	0.0616242	0.0207819	14
15	0	0	0	-1
15	3	0.0532075	0.0211211	2
15	6	0.0396554	0.0211066	5
15	14	-0.0512723	0.0211152	6
15	11	0.0132127	0.0211074	10
15	7	0.071062	0.0211099	14
16	0	0	0	-1
16	3	0.0890906	0.0214398	2
16	6	0.00592838	0.0214247	5
16	14	-0.0597685	0.0214337	6
16	11	0.0350286	0.0214255	10
16	7	0.0438309	0.0214281	14
17	0	0	0	-1
17	3	0.0781137	0.0217626	2
17	6	0.00867171	0.0217468	5
17	14	-0.0781311	0.0217562	6
17	11	0.0645669	0.0217475	10
17	7	0.0484343	0.0217503	14
18	0	0	0	-1
18	3	0.0679907	0.0216543	2
18	6	0.0112569	0.0216387	5
18	14	-0.0554645	0.021648	6
18	11	0.00453057	0.0216395	10
18	7	0.0116907	0.0216422	14
19	0	0	0	-1
19	3	0.0554192	0.0206219	2
19	6	-0.0441518	0.0206085	5
19	14	-0.041785	0.0206165	6
19	11	0.0251088	0.0206092	10
19	7	0.0555678	0.0206115	14
20	0	0	0	-1
20	3	0.0890026	0.0209521	2
20	6	0.0181495	0.020938	5
20	14	0.00733379	0.0209464	6
20	11	0.0270732	0.0209388	10
20	7	0.0664406	0.0209412	14
21	0	0	0	-1
21	3	0.0390989	0.0214791	2
21	6	-0.00326125	0.0214639	5
21	14	-0.0710979	0.0214729	6
21	11	-0.000958173	0.0214646	10
21	7	0.00590508	0.0214673	14
22	0	0	0	-1
22	3	0.0442009	0.021645	2
22	6	-0.00817303	0.0216295	5
22	14	-0.0358081	0.0216387	6
22	11	0.0408123	0.0216302	10
22	7	0.00321817	0.0216329	14
23	0	0	0	-1
23	3	0.0836938	0.0188208	2
23	6	0.0125451	0.0188128	5
23	14	-0.0543336	0.0188156	6
23	16	-0.0416039	0.0188134	8
23	7	0.0451108	0.018811	14
24	0	0	0	-1
24	3	0.102537	0.0219128	2
24	14	-0.0621856	0.0219027	6
24	16	-0.0418366	0.0218963	8
24	17	-0.058958	0.021911	9
24	7	0.0290332	0.0218959	14
25	0	0	0	-1
25	3	0.0769532	0.0217128	2
25	14	-0.0149201	0.021703	6
25	16	-0.031449	0.0216968	8
25	17	-0.0717696	0.0217111	9
25	7	0.0566842	0.0216964	14
26	0	0	0	-1
26	3	0.0503091	0.021638	2
26	14	-0.0539232	0.0216284	6
26	16	-0.0378655	0.0216222	8
26	17	-0.0661748	0.0216364	9
26	7	0.0391565	0.0216218	14
27	0	0	0	-1
27	3	0.0595169	0.0216793	2
27	14	-0.028841	0.0216696	6
27	16	-0.0319773	0.0216634	8
27	17	-0.0737954	0.0216776	9
27	7	0.0733998	0.021663	14
28	0	0	0	-1
28	3	0.0316369	0.0211701	2
28	14	-0.0270973	0.0211605	6
28	16	-0.0370079	0.0211562	8
28	17	-0.0655744	0.0211707	9
28	19	0.0637497	0.0211562	15
29	0	0	0	-1
29	3	0.0739034	0.0223017	2
29	14	-0.0327813	0.0222904	6
29	16	-0.0249519	0.0222854	8
29	17	-0.0730621	0.0223024	9
29	19	0.0843064	0.0222855	15
30	0	0	0	-1
30	3	0.0379821	0.0210871	2
30	14	-0.0555822	0.0210776	6
30	16	-0.0537743	0.0210733	8
30	17	-0.0484856	0.0210877	9
30	19	0.0116144	0.0210734	15
31	0	0	0	-1
31	3	0.075487	0.020274	2
31	14	-0.0393022	0.0202648	6
31	16	-0.0223658	0.020261	8
31	17	-0.0855157	0.0202737	9
31	7	0.0550103	0.0202597	14
31	19	0.0707309	0.0202608	15
32	0	0	0	-1
32	3	0.0321603	0.021819	2
32	14	-0.0339482	0.0218076	6
32	16	-0.0210608	0.0218029	8
32	17	-0.0843504	0.0218187	9
32	7	0.0683452	0.0218013	14
32	19	0.0730934	0.0218026	15
33	0	0	0	-1
33	3	0.090557	0.0216214	2
33	14	-0.0275529	0.0216102	6
33	16	-0.0496922	0.0216057	8
33	17	-0.106302	0.021621	9
33	7	0.0780039	0.0216041	14
33	19	0.0580264	0.0216054	15
34	0	0	0	-1
34	3	0.0645149	0.0216779	2
34	14	-0.069061	0.0216667	6
34	16	-0.0234489	0.0216621	8
34	17	-0.108938	0.0216775	9
34	7	0.0664293	0.0216605	14
34	19	0.073269	0.0216618	15
35	0	0	0	-1
35	3	0.0554582	0.0200608	2
35	14	-0.0281713	0.0200519	6
35	16	-0.0955559	0.0200483	8
35	17	-0.115074	0.0200605	9
35	7	0.0667523	0.020047	14
35	19	0.0763314	0.020048	15
36	0	0	0	-1
36	3	0.047643	0.0205722	2
36	14	-0.0298471	0.0205626	6
36	16	-0.0300619	0.0205587	8
36	17	-0.0952505	0.0205719	9
36	7	0.0513224	0.0205573	14
36	19	0.0173474	0.0205584	15
37	0	0	0	-1
37	3	0.0715604	0.0213018	2
37	14	-0.0433922	0.0212912	6
37	16	-0.0346175	0.0212868	8
37	17	-0.0492414	0.0213015	9
37	7	0.0609532	0.0212853	14
37	19	0.0519723	0.0212865	15
38	0	0	0	-1
38	3	0.0518808	0.0218624	2
38	4	0.0282317	0.0218403	3
38	16	-0.0241021	0.0218445	8
38	17	-0.0367783	0.0218607	9
38	7	0.0179639	0.021842	14
38	19	0.0586138	0.0218438	15
39	0	0	0	-1
39	3	0.0434163	0.0196518	2
39	4	0.0363714	0.0196358	3
39	16	-0.0896722	0.0196388	8
39	17	-0.0539313	0.0196506	9
39	7	0.0213482	0.019637	14
39	19	0.0531712	0.0196383	15
40	0	0	0	-1
40	3	0.07061	0.0204609	2
40	16	-0.0276293	0.0204481	8
40	17	-0.0678876	0.0204609	9
40	15	-0.0724323	0.020455	12
40	7	0.0347461	0.0204506	14
40	19	0.0165498	0.0204492	15
41	0	0	0	-1
41	3	0.0523718	0.0219442	2
41	16	-0.0585354	0.0219284	8
41	17	-0.0719274	0.0219442	9
41	15	-0.0764883	0.0219369	12
41	7	0.0489147	0.0219315	14
41	19	0.039884	0.0219298	15
42	0	0	0	-1
42	3	0.0669708	0.0204937	2
