MODEL	INTERCEPT	SE	COL0	SE	COL1	SE	COL2	SE	COL3	SE
1	0.0148731	0.00763437	0.539474	0.268966	0.0318635	0.0279918	0.0333321	0.0321028	-0.0281319	0.136609
2	0.0193134	0.00763437	-0.107513	0.268966	0.0406955	0.0279918	0.0238206	0.0321028	-0.133608	0.136609
3	0.0179514	0.00763437	0.0492172	0.268966	0.0326229	0.0279918	0.0254171	0.0321028	0.573122	0.136609
4	0.0117828	0.00763437	0.265373	0.268966	0.0262285	0.0279918	-0.0025793	0.0321028	0.196041	0.136609
5	0.0266023	0.00266764	0.438274	0.0976132	0.0215788	0.0142298	-0.0325832	0.0131384	0.373169	0.0622848
6	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
7	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
8	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
9	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
10	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
11	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
12	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
13	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
14	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
15	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
16	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
17	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
18	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
19	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
20	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
21	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
22	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
23	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
24	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
25	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
26	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
27	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
28	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
29	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
30	0.0200135	0.00266764	\N	\N	\N	\N	\N	\N	\N	\N
31	-0.00778081	0.0146804	0.0389872	0.0478799	0.0384687	0.0778612	0.00789181	0.0517807	0.286727	0.0720977
32	-0.0263989	0.0146804	0.121752	0.0478799	-0.0341518	0.0778612	-0.0328732	0.0517807	0.0828736	0.0720977
33	-0.00817942	0.0146804	-0.00340399	0.0478799	0.1487	0.0778612	-0.0501419	0.0517807	0.183763	0.0720977
34	-0.0127713	0.0146804	0.109802	0.0478799	0.0753242	0.0778612	-0.0652029	0.0517807	0.26853	0.0720977
35	-0.0317684	0.0146804	0.0811955	0.0478799	0.128399	0.0778612	-0.000229825	0.0517807	0.273796	0.0720977
36	-0.0201953	0.0146804	0.0374639	0.0478799	-0.0102589	0.0778612	-0.0590703	0.0517807	0.2282	0.0720977
37	-0.0195711	0.0146804	0.0325462	0.0478799	0.188959	0.0778612	-0.0638845	0.0517807	0.290291	0.0720977
38	0.00380935	0.00815743	-0.010368	0.0245348	0.0259784	0.0417097	-0.0328893	0.0240583	0.279857	0.0371447
39	0.010124	0.00815743	0.0531262	0.0245348	-0.0588587	0.0417097	0.0467112	0.0240583	0.273611	0.0371447
40	0.00351395	0.00997678	-0.0415945	0.0256354	-0.108961	0.0482993	-0.0210586	0.0296799	0.257425	0.0440775
41	-0.00423743	0.00997678	-0.0523454	0.0256354	0.0579052	0.0482993	-0.0536388	0.0296799	0.290371	0.0440775
42	0.00740143	0.00997678	-0.0661831	0.0256354	0.00427521	0.0482993	-0.00847452	0.0296799	0.375632	0.0440775
43	-0.010314	0.00997678	-0.0116978	0.0256354	-0.0424845	0.0482993	-0.025513	0.0296799	0.367952	0.0440775
44	0.0258979	0.00997678	-0.0075021	0.0256354	-0.0159321	0.0482993	-0.0613412	0.0296799	0.291734	0.0440775
45	0.0189079	0.00997678	-0.0379707	0.0256354	0.0185095	0.0482993	0.0626539	0.0296799	0.351449	0.0440775
46	0.0145234	0.00997678	-0.0211518	0.0256354	-0.0142207	0.0482993	-0.0329437	0.0296799	0.285621	0.0440775
47	0.038012	0.00857733	-0.0182966	0.0289084	-0.0833743	0.0455367	0.0356376	0.0314406	0.322671	0.0450375
48	0.0141061	0.00857733	-0.00794718	0.0289084	-0.0593965	0.0455367	0.0205902	0.0314406	0.259921	0.0450375
49	0.0247118	0.00683169	-0.0620575	0.0250476	-0.0834957	0.0409066	-0.0566459	0.0280986	0.326106	0.0414783
50	0.018275	0.00683169	-0.0238826	0.0250476	-0.138257	0.0409066	-0.000454004	0.0280986	0.3217	0.0414783
